activity_name,video,segment,rubric,dimension,score,confidence,anchor_matched,scorer_notes
Circle time,20250918_activity_1_circle_time.mp4,after,playground,narrative,0,high,No experiential context — generic space with no immersive framing; pure utility setup,"The transcript contains only singing tags with no lyrical content visible, and visual observations describe a standard classroom mat-based circle activity with generic shelving. No thematic decor, props, or immersive framing elements are observable at any point in the session."
Circle time,20250918_activity_1_circle_time.mp4,after,playground,multi_sensory,0.5,medium,Two senses are nominally engaged but at least one is weak or marginal,"The transcript only logs '(singing)' with no lyric content, so it is impossible to determine whether songs involved movement/gesture (proprioceptive) or tactile props. The visual observations reference 'a book or activity on the mat' but do not clarify whether children are touching/manipulating materials or only looking. Auditory (singing) is clearly present; visual is nominally present via the mat activity and colorful environment. Tactile, proprioceptive, and olfactory engagement cannot be confirmed. This places the session at 0.5 — two senses nominally engaged but the non-auditory sense is weak/marginal given the evidence available."
Circle time,20250918_activity_1_circle_time.mp4,after,playground,boundary,1.0,high,"At least one clear, unambiguous activity boundary — a canvas, paper, mat, rug, table, low fence, or similar marker visually defines the zone. A single well-defined zone is sufficient for this score.",
Circle time,20250918_activity_1_circle_time.mp4,after,playground,movement,1.0,high,Both elements are present — children can clearly access the activity zone (visible path markers not required; minor adult presence in the path is acceptable as long as children get past) AND deliberat,"The activity is circle time (songs/storytelling), which naturally calls for sitting on a mat. Children are clearly positioned on the mat with materials accessible. Adult movement in the room is minor and does not obstruct child access or engagement. Both clear access and deliberate positioning are present."
Circle time,20250918_activity_1_circle_time.mp4,after,playground,clean_up,insufficient_evidence,low,,"The session is a circle time/singing activity on a mat. No cleanup activity occurs during the 4-minute recording. The visual observations mention shelves with books and toys in the background but provide no detail about shelf height, labelling, or child accessibility. There is insufficient evidence to score the clean_up dimension reliably."
Circle time,20250918_activity_1_circle_time.mp4,after,toy_design,purpose,insufficient_evidence,low,,"This is a teacher-led circle time activity, not a self-directed activity zone with staged materials. The 'Purpose' dimension assesses whether material arrangement at an activity zone communicates what to do without adult instruction. Circle time is inherently adult-directed (teacher leads singing/storytelling), so the concept of a child arriving and intuiting purpose from material arrangement does not apply in the same way. The visual observations mention children sitting on a mat looking at 'a book or activity' but provide insufficient detail about any material staging that would allow scoring. The transcript contains only singing tags with no verbal content. There is not enough evidence to reliably score this dimension for this activity type."
Circle time,20250918_activity_1_circle_time.mp4,after,toy_design,anchor_and_choice_materials,insufficient_evidence,low,,"This is a circle time / group singing session on a mat. The visual observations mention 'a book or activity on the mat' but provide no detail about what materials are present, how many options exist, or whether children have any choice among tools or items. The transcript contains only '(singing)' tags with no content. There is insufficient evidence to determine whether an anchor material with choice options is present — the activity appears to be teacher-led group singing, which by design does not involve physical choice materials, but this cannot be confirmed from the evidence provided."
Circle time,20250918_activity_1_circle_time.mp4,after,toy_design,spark_curiosity,insufficient_evidence,low,,"The visual observations reference 'a book or activity on the mat' but provide no detail about what that item is, whether it is unusual, striking, or curiosity-invoking. The transcript contains only '(singing)' tags with no verbal content that could indicate a curiosity hook. There is insufficient detail about the activity zone itself to determine whether any surprising, mysterious, or visually striking element is present at the activity area."
Circle time,20250918_activity_1_circle_time.mp4,after,toy_design,challenge_adjustment,insufficient_evidence,low,,"The transcript contains only '(singing)' tags with no substantive content, and the visual observations describe a group circle/mat activity but provide no detail about materials, difficulty levels, or variations visible in the setup. There is insufficient evidence to determine whether any challenge adjustment features are present or absent."
Circle time,20250918_activity_1_circle_time.mp4,after,toy_design,self_served,insufficient_evidence,low,,"The activity is a teacher-led circle time (songs, storytelling, guided discussion). The transcript contains only '(singing)' tags with no content, and the visual observations describe children sitting on a mat engaged in 'an activity' with 'a book or activity on the mat' but provide no detail about specific materials — their size, weight, safety features, or recognisability. There is insufficient visual or transcript evidence to assess whether the materials are designed for child self-service per the rubric indicators."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,playground,narrative,0,high,No experiential context — generic space with no immersive framing; pure utility setup,"The activity is a straightforward balloon movement exercise in a bare room. Balloons serve as activity props but there is no thematic decor, framing, or narrative context establishing any setting. This is a pure utility setup."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,playground,multi_sensory,1,high,Two or more senses are meaningfully engaged through deliberate material and arrangement choices,"The activity deliberately combines tactile (balloon handling), visual (colored balloons), proprioceptive (throwing, kicking, crawling, catching), and auditory (teacher cues, balloon sounds) engagement. No music is explicitly confirmed in the transcript or visuals despite the activity notes mentioning music, but the remaining three-plus senses are clearly and meaningfully engaged."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,playground,boundary,0,high,No clear boundary — children would not know where the activity is supposed to happen without being told,"The activity is a free-movement balloon dance in a large, empty room. No mat, rug, tape outline, low fence, or any other physical or visual boundary is present at any point in the recording. Children and the adult move freely across the entire undifferentiated floor space."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,playground,movement,1.0,high,Both elements are present — children can clearly access the activity zone (visible path markers not required; minor adult presence in the path is acceptable as long as children get past) AND deliberat,"The activity is a free-movement balloon dance in a large open room — the design intent is clearly for children to move freely in all directions. The space is essentially empty of obstacles, children move in multiple postures throughout, and materials (balloons) are distributed at child level. The seated adult in the background does not constitute obstruction per rubric rules."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,playground,clean_up,insufficient_evidence,low,,"The session recording covers only the active balloon dance activity (5 minutes). No cleanup phase is observed — there is no footage of children returning materials to storage, no storage areas visible in the frame, and no labels, bins, or shelves are shown. The activity uses balloons which are light enough for children to handle, but the design of the return/storage system cannot be assessed from this recording alone. Insufficient evidence to score this dimension."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,toy_design,purpose,1.0,high,The activity's purpose is obvious from the setup alone — materials are arranged in a way that a child arriving can intuit what to do. Explicit labels are not required.,"The activity is a movement/dance activity using balloons as props. The setup is maximally clear: each child holds a balloon in an open floor space. No labels, signs, or adult explanation are needed for a child to understand what to do. The open room + balloons arrangement is an unambiguous signal."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,toy_design,anchor_and_choice_materials,0.5,high,An anchor (single or multiple) is present but choice materials are limited; OR variety of materials exists but no anchor draws children in,"The anchor (balloons) is clearly present and inviting. However, choice materials are essentially absent — only one type of prop (balloons) in two colors with no additional tools, instruments, or material options. Children do self-generate some variety in how they use the balloons, but the setup itself does not provide designed choice materials. This maps cleanly to the 0.5 anchor."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,toy_design,spark_curiosity,0,high,Activity area is purely functional with no curiosity hook — children would not have any 'what's that?' moment from what is at the activity itself,"Balloons are engaging and enjoyable for young children but are not novel or surprising in a way that sparks curiosity or wonder. There are no hidden elements, unexpected materials, or visually striking centerpieces at the activity area. The activity is purely functional movement play."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,toy_design,challenge_adjustment,0,high,Single fixed difficulty level — no variation possible without redesigning the activity,"Children naturally self-differentiate (some kick, some toss high, one crawls), but this is incidental child behavior, not a deliberately staged difficulty variation in the environment design. No tiered materials or visible extensions are present."
Balloon dance,20250918_activity_5_balloon_dance.mp4,before,toy_design,self_served,1.0,high,"All materials are, by DESIGN, safe, recognisable to children of the age range, and light enough for them to handle alone. The activity is designed for self-service even if teachers are observed helpin","The sole material is inflated balloons — inherently lightweight, familiar, and safe for this age group by design. The only minor design consideration for very young children is the choking hazard of deflated/burst balloon fragments, but no evidence of burst balloons or uninflated pieces within reach is observed. Inflated balloons as used here are standard for this age range."
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,playground,narrative,0,medium,No experiential context — generic space with no immersive framing; pure utility setup,"The 'Happy Birthday' lyric and balloons could hint at a birthday party framing, but the visual evidence shows a bare room with no thematic decor, banners, or deliberate arrangement to support immersive narrative. Balloons as activity props without scene-setting context do not earn narrative credit per the rubric's failure mode guidance."
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,playground,multi_sensory,1,high,Two or more senses are meaningfully engaged through deliberate material and arrangement choices,"The activity deliberately combines at least three senses: tactile (handling balloons), proprioceptive (tossing, catching, moving), visual (colored balloons), and auditory (singing/music). This clearly meets the 1.0 anchor."
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,playground,boundary,0,high,No clear boundary — children would not know where the activity is supposed to happen without being told,"The activity takes place across an open, undivided room with no mat, rug, tape, or any spatial marker defining the activity zone. The entire room functions as the play space by default, not by design."
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,playground,movement,1.0,high,Both elements are present — children can clearly access the activity zone (visible path markers not required; minor adult presence in the path is acceptable as long as children get past) AND deliberat,
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,playground,clean_up,insufficient_evidence,low,,"The 1-minute recording captures only the setup/play phase of a balloon dance activity. No cleanup sequence occurs within the observable window — children are picking up balloons to play with them, not returning them to storage. There is no evidence of storage locations, shelving, labels, or a cleanup routine. The dimension cannot be scored from this evidence alone."
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,toy_design,purpose,1.0,high,The activity's purpose is obvious from the setup alone — materials are arranged in a way that a child arriving can intuit what to do. Explicit labels are not required.,The setup is minimal but unambiguous — balloons on an open floor in a cleared room is a universally intuitive invitation to physical play. Children's immediate self-directed engagement confirms the setup communicated purpose without adult instruction.
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,toy_design,anchor_and_choice_materials,0.5,medium,An anchor (single or multiple) is present but choice materials are limited; OR variety of materials exists but no anchor draws children in,"The anchor is clear — balloons scattered on the floor immediately invite engagement. However, choice materials are very limited: only balloons in two colors (white and yellow), no additional tools, scarves, music instruments, or props visible. Children do use the balloons in varied ways spontaneously, but the design itself does not provide a variety of choice materials. This maps to the 0.5 anchor: anchor present but choice materials are limited."
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,toy_design,spark_curiosity,0.5,medium,Some interesting elements are present at the activity area but they don't clearly stand out as a deliberate curiosity hook,"Balloons on the floor before children enter create a mild visual interest and invitation to play, but balloons are a very familiar object for this age group. There is no mysterious, hidden, or truly unexpected element — just a simple, functional setup. The score of 0.5 reflects that there is some interesting element (balloons pre-placed, two colors) but it does not rise to a clear deliberate curiosity hook."
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,toy_design,challenge_adjustment,0,high,Single fixed difficulty level — no variation possible without redesigning the activity,"The activity is a single fixed free-play balloon dance with no visible difficulty variants, tiered materials, or optional extensions. Self-pacing is possible but the design does not deliberately surface any challenge adjustment options."
Balloon dance,20250918_activity_5_balloon_dance.mp4,after,toy_design,self_served,1.0,high,"All materials are, by DESIGN, safe, recognisable to children of the age range, and light enough for them to handle alone. The activity is designed for self-service even if teachers are observed helpin","Inflated balloons are an archetypal self-service material for this age group — light, recognisable, safe when inflated, and sized for small hands. The only minor design consideration is that deflated or burst balloon fragments could pose a choking hazard, but no such evidence is visible; all balloons appear fully inflated throughout the session."
Colouring,D06_20250919105616.mp4,before,playground,narrative,0,high,No experiential context — generic space with no immersive framing; pure utility setup,"The session is almost entirely an empty room. When children and teachers arrive, there is no evidence of any deliberate narrative framing, thematic decor, or immersive setup. The activity (individual colouring sheets) is described in staff notes but no corresponding scene-setting is visible."
Colouring,D06_20250919105616.mp4,before,playground,multi_sensory,insufficient_evidence,low,,"The recording is 4 minutes long but children and materials only appear in the final 30 seconds. The activity noted (individual colouring sheets) would nominally engage visual and tactile senses, but no colouring sheets, crayons, or actual engagement with materials is visible in the footage. The basket placed on the blackboard and the bottle carried by the teacher are the only material hints, but their contents are not described and no child-material interaction is observed. There is insufficient evidence to score the setup as designed or in use."
Colouring,D06_20250919105616.mp4,before,playground,boundary,0,high,No clear boundary — children would not know where the activity is supposed to happen without being told,The session ends before any colouring sheets are distributed or any activity zone is established. The entire 4-minute recording shows either an empty room or children wandering without any boundary marker present. Score of 0 is warranted.
Colouring,D06_20250919105616.mp4,before,playground,movement,0.5,medium,"Either clear unobstructed access OR clear positioning is present, but not both. Or one is partial. Significant access obstructions (multiple adults forming a barrier; persistent blocking; major clutte","The recording ends just as children and teachers enter and materials are being placed. The colouring activity setup (individual sheets, seating or standing positions) is not yet established within the observable window. Access to the space is clearly unobstructed, but deliberate positioning suited to the colouring activity is not yet visible, warranting a 0.5."
Colouring,D06_20250919105616.mp4,before,playground,clean_up,insufficient_evidence,low,,"The session recording is only 4 minutes long and captures an empty room for the first ~3 minutes, followed by children and teachers just entering the space. No cleanup activity occurs during the observable window. The white cabinets visible in the background are closed and at adult height, but no materials are distributed or returned during the session, making it impossible to assess whether children can independently return materials. Insufficient evidence to score this dimension."
Colouring,D06_20250919105616.mp4,before,toy_design,purpose,0,high,Setup is ambiguous — a child arriving could not guess what the activity is meant to be from the material arrangement alone,"The activity zone is never pre-staged with colouring sheets and colours before children arrive. Materials are carried in by teachers simultaneously with children entering, so no arrangement exists that would allow a child to intuit the activity independently."
Colouring,D06_20250919105616.mp4,before,toy_design,anchor_and_choice_materials,insufficient_evidence,low,,"The session is only 4 minutes long and the room is empty for the first ~3 minutes. In the final 30 seconds, a teacher brings in a basket of items and places it on the blackboard, but the contents of the basket are never described and no colouring sheets or other materials are visible in the visual observations. The activity notes mention individual colouring sheets, but there is no visual or transcript evidence confirming what materials were actually laid out, whether there was an anchor, or what choice materials (if any) were available. There is insufficient evidence to score this dimension reliably."
Colouring,D06_20250919105616.mp4,before,toy_design,spark_curiosity,0,medium,Activity area is purely functional with no curiosity hook — children would not have any 'what's that?' moment from what is at the activity itself,"The session is very short (4 minutes) and the activity area is only visible in the final 30–60 seconds. The setup described — a basket of items and a white bottle placed near a blackboard for a colouring activity — aligns with the staff notes ('children get their individual colouring sheets and colour'). No surprising, mysterious, or visually striking element is visible at the activity zone. Confidence is medium rather than high due to limited camera visibility of the basket contents."
Colouring,D06_20250919105616.mp4,before,toy_design,challenge_adjustment,insufficient_evidence,low,,"The recording is only 4 minutes long and the activity (individual colouring sheets) does not begin within the captured footage. Children and teachers only enter the room in the final 30 seconds, and no colouring materials, sheets, or any activity setup are visible. There is no basis to assess whether difficulty variations, tiered materials, or add-on extensions were present in the activity design."
Colouring,D06_20250919105616.mp4,before,toy_design,self_served,insufficient_evidence,low,,"The recording shows an empty room for the first ~3 minutes, and in the final 30 seconds only a teacher carrying a basket and a white bottle are visible — no colouring sheets or other activity materials are deployed or visible on surfaces accessible to children. There is insufficient visual evidence of the actual activity materials (colouring sheets, crayons, etc.) to assess their design for child self-service."
Colouring,D06_20250919105616.mp4,after,playground,narrative,0,high,No experiential context — generic space with no immersive framing; pure utility setup,"The room is empty for the entire recording and the activity (individual colouring sheets) has not yet begun. The visible elements — blackboard, generic colourful wall decorations — are standard classroom fixtures and do not constitute immersive narrative framing per the rubric's failure-mode guidance."
Colouring,D06_20250919105616.mp4,after,playground,multi_sensory,insufficient_evidence,low,,"The room is empty throughout the entire recording. No children, no materials, and no activity are visible. The staff notes describe individual colouring sheets, but this activity cannot be observed in the footage. There is insufficient evidence to score the multi-sensory quality of the setup as designed or in use."
Colouring,D06_20250919105616.mp4,after,playground,boundary,insufficient_evidence,low,,"The room appears empty throughout the entire 1-minute recording. No children, no activity materials (colouring sheets, tables, mats, or any zone markers) are visible. The activity described in the setup notes (individual colouring sheets) cannot be observed or evaluated. There is no evidence to score the presence or absence of a boundary."
Colouring,D06_20250919105616.mp4,after,playground,movement,insufficient_evidence,low,,"The room is empty for the entire 1-minute recording. No children, no activity setup (colouring sheets, tables, or seating), and no observable movement or positioning can be assessed. The activity described in the staff notes (children colouring at individual sheets) is not visible in the footage. There is insufficient evidence to score this dimension."
Colouring,D06_20250919105616.mp4,after,playground,clean_up,insufficient_evidence,low,,"The room is empty throughout the entire recording. No materials, storage, shelving, bins, or children are visible. The transcript contains only inaudible/artifact content. There is no observable evidence to score the clean-up dimension."
Colouring,D06_20250919105616.mp4,after,toy_design,purpose,insufficient_evidence,low,,"The recording shows an empty room for the entire 1-minute duration. No activity zone, materials, or children are visible. The transcript contains only inaudible/artifact entries. There is no observable setup to evaluate against the Purpose rubric."
Colouring,D06_20250919105616.mp4,after,toy_design,anchor_and_choice_materials,insufficient_evidence,low,,"The room is empty throughout the entire recording — no children, no materials, no setup visible. The activity notes describe individual colouring sheets, but no materials are observable in the footage. The transcript is entirely inaudible/artifact. There is no evidence to score this dimension."
Colouring,D06_20250919105616.mp4,after,toy_design,spark_curiosity,insufficient_evidence,low,,"The session recording shows an empty room for the entire duration with no children, no activity setup, and no materials visible at any activity zone. The described activity (individual colouring sheets) never appears on camera. Wall decorations and blackboard are ambient room features that do not count per rubric rules. There is no observable activity area to score against."
Colouring,D06_20250919105616.mp4,after,toy_design,challenge_adjustment,insufficient_evidence,low,,"The room is empty throughout the entire recording — no children, no materials, no activity setup visible. The transcript is unintelligible. There is no observable evidence of coloring sheets, difficulty variations, or any activity materials that would allow scoring this dimension."
Colouring,D06_20250919105616.mp4,after,toy_design,self_served,insufficient_evidence,low,,"The room is empty throughout the entire recording. No materials, children, or activity setup are visible. The transcript contains only inaudible/artifact entries. There is no evidence of colouring sheets, crayons, or any other materials to evaluate against the self-served rubric indicators."
