Q ID,Criteria,Group,Question,Analysis,Answer,Confidence,Evidence,Status
Q15,Content Knowledge,"Were they able to break down the artwork process into clear, manageable steps for students?",How many steps did the teacher mention in the process?,Audio,"3 steps: tear paper, apply glue, stick paper inside the outline.",high,"00:17:00 to 00:30:00 - Teacher explains tearing, then later explains gluing and sticking.",answered
Q16,Facilitation,Can they level up/down for a child/children?,# of children who were disengaged/struggling with the activity,Visual + Audio,1 child occasionally struggled to stay engaged and wandered away from the table.,medium,"00:06:40, 00:10:00 - The boy in the green shirt wanders away from the activity.",answered
Q17,Facilitation,Can they level up/down for a child/children?,# of children who completed the activity at least 5 min before the end time,Visual + Audio,2 children appeared to finish their sticking activity earlier than the others.,medium,00:55:00 - Two girls seem to have completed their main sticking while the boy continues.,answered
Q18,Facilitation,Can they level up/down for a child/children?,Teacher offered a simpler / easier version of the task to children who were struggling,Visual + Audio,"No, the teacher did not explicitly offer a simpler version, but provided hands-on assistance.",high,00:35:00 to 00:55:00 - Teacher helps children directly rather than changing the task.,answered
Q19,Facilitation,Can they level up/down for a child/children?,Teacher offered an extension or challenge to children who finished early or showed proficiency,Visual + Audio,"No, the teacher did not offer an extension; early finishers transitioned to washing hands.",high,01:05:00 - Children who finish are directed to wash hands.,answered
Q20,Facilitation,Are they able to engage all children or attempt to engage all children throughout the class?,"Teacher used prompts (open questions, choices) that invited every child to participate",Audio,"Yes, the teacher asked open questions to engage the children.",high,00:02:25 - Asks how textures feel; 00:17:00 - Asks what sea animals they know.,answered
Q21,Facilitation,Are they able to engage all children or attempt to engage all children throughout the class?,Teacher noticed disengaged or withdrawn children and helped them reengage with the activity,Visual + Audio,"Yes, the teacher noticed when a child wandered and called him back to the activity.",high,00:06:40 - Teacher calls the boy back to the table.,answered
Q22,Facilitation,Are they able to engage all children or attempt to engage all children throughout the class?,Every child present was individually addressed (eye contact + name or direct prompt) at least once,Visual + Audio,"Yes, the teacher addressed each child individually by name or direct interaction.",high,"Throughout the artwork phase (00:30:00 - 01:00:00), she helps and speaks to each child individually.",answered
Q23,Facilitation,Are they able to engage all children or attempt to engage all children throughout the class?,# of children who were actively engaged for at least 80% of the activity,Visual + Audio,2 children were actively engaged for almost the entire duration.,medium,The two girls remain seated and focused on the tasks for the vast majority of the structured time.,answered
Q24,Facilitation,Are they able to manage behaviour with a balance of being polite and firm?,# of instances where there was a disruption in the class,Visual + Audio,Approximately 3 instances of minor disruption (child wandering).,medium,"00:06:40, 00:10:00, 00:12:00 - Boy leaves the table.",answered
Q25,Facilitation,Are they able to manage behaviour with a balance of being polite and firm?,How did the teacher handle the disruption,Visual + Audio,The teacher handled disruptions calmly by verbally prompting the child to return.,high,00:06:40 - Teacher gently tells the boy to come back and sit.,answered
Q26,Facilitation,Are they able to manage behaviour with a balance of being polite and firm?,Did the disruption end once the teacher intervened,Visual + Audio,"Yes, the child returned to the table when prompted.",high,00:06:50 - Boy returns to his seat after being called.,answered
Q27,Warmth,"Teacher interacts with children with affection, empathy, patience, and respect; encourages freindships",Are there any instances where the child may feel unsafe?,Visual + Audio,No instances observed where a child might feel unsafe.,high,00:00:00 to 01:48:44 - The environment remains calm and supervised.,answered
Q28,Warmth,"Teacher interacts with children with affection, empathy, patience, and respect; encourages freindships",Are there any instances where the teacher shouts or punishes a child?,Visual + Audio,No instances of shouting or punishment were observed.,high,00:00:00 to 01:48:44 - Teacher maintains a gentle tone throughout.,answered
Q29,Warmth,"Teacher interacts with children with affection, empathy, patience, and respect; encourages freindships","Are there any instances where the teacher seems frustrated, irritated, impatient?",Visual + Audio,No instances of the teacher appearing frustrated or impatient.,high,"00:00:00 to 01:48:44 - Teacher is consistently patient, even when a child wanders.",answered
Q30,Warmth,"Teacher interacts with children with affection, empathy, patience, and respect; encourages freindships","Does the teacher demonstrate warmth (smile, eye contact) and enthusiasm",Visual + Audio,"Yes, the teacher demonstrates warmth through a gentle tone and encouraging words.",high,"Throughout the session, she speaks softly and praises their work.",answered
Q31,Warmth,"Teacher interacts with children with affection, empathy, patience, and respect; encourages freindships",Does the teacher actively encourage peer interaction or friendship?,Visual + Audio,The teacher allows shared space but does not explicitly prompt collaborative peer interaction.,medium,"Children work independently on their own collages, though they sit together.",answered
