segment,rubric,dimension,score,confidence,anchor_matched,scorer_notes
after,playground,narrative,0,high,No experiential context — generic space with no immersive framing; pure utility setup,
after,playground,multi_sensory,1.0,high,Two or more senses are meaningfully engaged through deliberate material and arrangement choices,"The activity meaningfully engages at least two senses: auditory (rhythmic chanting/song) and proprioceptive/kinesthetic (whole-body mime gestures for forming, peeling, chopping, eating). The classroom also contains a play tunnel and cushions visible in the visual observations, and the teacher references a trampoline, further confirming multi-sensory design intent. No tactile materials or visual variety beyond the room setup are evident, but auditory + movement alone is sufficient for a 1.0 score."
after,playground,boundary,1.0,high,"At least one clear, unambiguous activity boundary — a canvas, paper, mat, rug, table, low fence, or similar marker visually defines the zone. A single well-defined zone is sufficient for this score.","The yellow cushions clearly define the circle-time zone. Multiple children independently navigate to and from the cushion area without needing verbal redirection to the zone itself, confirming the boundary is self-evident."
after,playground,movement,1.0,high,Both elements are present — children can clearly access the activity zone (visible path markers not required; minor adult presence in the path is acceptable as long as children get past) AND deliberat,"The activity is a group circle/song session. Yellow floor cushions provide clear, deliberate positioning. Multiple children access the zone freely throughout the session, including a late-arriving child who walks in unobstructed. No significant barriers or clutter are observed blocking access."
after,playground,clean_up,insufficient_evidence,low,,"The session is a group circle/song activity. No cleanup or material return occurs during the recording. While shelves and low furniture are briefly visible in the background, the camera never provides a clear view of storage labels, shelf heights relative to children, or any cleanup behavior. There is insufficient evidence to score this dimension reliably."
after,toy_design,purpose,0.5,medium,Some cues to purpose are present but the arrangement is mixed or partially staged; intent is unclear in parts,"The cushion arrangement provides a minimal spatial cue for group gathering, but the core activity (fruit song with movement and guided discussion) relies entirely on teacher verbal direction with no supporting materials, props, or visual aids staged at the zone. This is a teacher-led circle time where the activity's purpose is communicated through adult instruction rather than material arrangement. Scored 0.5 because the cushion layout does suggest 'sit together here' but does not communicate what the activity will be."
after,toy_design,anchor_and_choice_materials,0.5,medium,An anchor (single or multiple) is present but choice materials are limited; OR variety of materials exists but no anchor draws children in,"The anchor is clearly the teacher-led circle song/chant activity, which draws most children in. However, the activity relies entirely on gesture and verbal participation — there are no physical choice materials (tools, items, manipulatives) offered within the anchor. The room contains other materials (tunnel, tables, shelves) but these are not part of the anchor setup. The only 'choice' is verbal (naming a fruit), which is a partial indicator of flexible engagement but does not constitute choice materials as defined by the rubric."
after,toy_design,spark_curiosity,0,high,Activity area is purely functional with no curiosity hook — children would not have any 'what's that?' moment from what is at the activity itself,"The play tunnel and shelves mentioned in visuals are elsewhere in the room and not part of the circle activity zone, so they do not count per rubric rules. The activity itself is entirely song/chant-based with no physical materials or curiosity elements at the activity area."
after,toy_design,challenge_adjustment,0,high,Single fixed difficulty level — no variation possible without redesigning the activity,The activity is a uniform group song/chant. Child input (choosing a fruit) personalizes the content but does not alter difficulty. No tiered materials or extension options are visible or referenced.
after,toy_design,self_served,1.0,high,"All materials are, by DESIGN, safe, recognisable to children of the age range, and light enough for them to handle alone. The activity is designed for self-service even if teachers are observed helpin","The core activity is a body-movement song/chant requiring no physical materials beyond floor cushions. Surrounding environment materials (play tunnel, small tables, shelves) are all visibly child-scaled and independently accessed by children throughout the recording. No heavy, sharp, or unrecognisable items are evident in the design."
