S No,Bucket,Sub-category,Question,Question Type,Video 1,Score,Remarks,Video 2,Score,Remarks,Video 3,Score,Remarks
65,4. The Children,4A. Engagement & Involvement,What number of children appear actively engaged at the peak of the activity vs disengaged?,L2,,,,,,,,,
66,4. The Children,4A. Engagement & Involvement,What number of children were engaged for at least 80% of the time vs what number of children were NOT engaged for 80% of the time?,L2,,,,,,,,,
67,4. The Children,4B. Exploration & Curiosity,"Do children try the activity in different ways, or stick to one rigid approach?",L3,,,,,,,,,
68,4. The Children,4B. Exploration & Curiosity,How many children asked a question during the activity?,L2,,,,,,,,,
69,4. The Children,4B. Exploration & Curiosity,What questions did the children ask?,L1,,,,,,,,,
70,4. The Children,4C. Autonomy & Initiative,"Do children start the activity on their own, or wait for adult instruction?",L3,,,,,,,,,
71,4. The Children,4C. Autonomy & Initiative,"Do children make their own choices during the activity (which color, which tool, what to make)?",L3,,,,,,,,,
72,4. The Children,4C. Autonomy & Initiative,"Do children solve small problems themselves (e.g. paint not flowing, sharing a tool) before asking for help?",L3,,,,,,,,,
73,4. The Children,4D. Emotional Well-being,"Are children visibly happy, relaxed, and at ease?",L3,,,,,,,,,
74,4. The Children,4D. Emotional Well-being,"Do children show frustration, anxiety, or distress? How frequent and how intense?",L3,,,,,,,,,
75,4. The Children,4D. Emotional Well-being,"Do children seem confident in their actions, or hesitant and seeking constant approval?",L4,,,,,,,,,
76,4. The Children,4E. Social Behavior with Peers,"Do children interact with each other (talking, gesturing, sharing materials)?",L2,,,,,,,,,
77,4. The Children,4E. Social Behavior with Peers,"Is there cooperation between children — working together, helping, or sharing space considerately?",L3,,,,,,,,,
78,4. The Children,4E. Social Behavior with Peers,"Are there conflicts between children? How are they handled (by themselves, by teacher, or escalated)?",L3,,,,,,,,,
79,4. The Children,4E. Social Behavior with Peers,"Are quieter or less-engaged children included by their peers, or left out?",L4,,,,,,,,,
80,4. The Children,4F. Learning Indicators,"Do children verbalise what they're doing, thinking, or noticing?",L2,,,,,,,,,
81,4. The Children,4F. Learning Indicators,Do children try to extend or modify the activity (adding their own variations)?,L3,,,,,,,,,
82,4. The Children,4F. Learning Indicators,"Do children produce or create something concrete during the activity (artwork, structure, story)?",L2,,,,,,,,,
83,5. The Interactions,5A. Teacher↔Child Exchange Quality,What are the minutes where the children speak vs where the teacher speaks?,L1,,,,,,,,,
84,5. The Interactions,5B. Sustained Shared Thinking,"Are ideas co-constructed (teacher and child build something together) or just transmitted (teacher tells, child receives)?",L4,,,,,,,,,
85,5. The Interactions,5C. Joint Attention & Shared Engagement,"Are there shared moments of wonder, surprise, laughter, or discovery between teacher and children?",L3,,,,,,,,,
86,5. The Interactions,5C. Joint Attention & Shared Engagement,"Does the teacher physically join children's play / activity, or direct from outside?",L2,,,,,,,,,
87,5. The Interactions,5D. Attention Distribution & Inclusion,Does every child get individual attention from the teacher at some point in the activity?,L3,,,,,,,,,
88,5. The Interactions,5D. Attention Distribution & Inclusion,Are there children who dominate the teacher's attention vs children who get very little?,L3,,,,,,,,,
89,5. The Interactions,5D. Attention Distribution & Inclusion,Does the teacher actively bring quieter / less-participating children into the conversation?,L4,,,,,,,,,
90,5. The Interactions,5D. Attention Distribution & Inclusion,Does each child speak at least once during the class?,L2,,,,,,,,,
91,5. The Interactions,5E. Receptivity to Children's Voice,"Are children's unusual, off-script, or ""wrong"" answers welcomed and explored, or shut down?",L4,,,,,,,,,
